t,icao,tpos,lat,lon,alt,tv,gs,trk,roc,t50,tas,t60,ias,mach,hdg,vwx,vwy,temp
1522942559.44214,4841D5,1522942557.865601,52.07352,4.788,10375.0,1522942559.44214,331.0,112.31,1728.0,1522942559.048031,304.0,1522942557.546304,265.0,0.48,110.742,7.86,-11.51,261.06
1522942560.375628,4841D5,1522942560.1506321,52.07217,4.79255,10450.0,1522942560.375628,333.0,112.18,1664.0,1522942559.819161,306.0,1522942559.81914,267.0,0.484,110.566,8.14,-11.57,261.48
1522942561.28286,4841D5,1522942561.109582,52.07162,4.795,10475.0,1522942561.28286,335.0,112.28,1536.0,1522942559.819161,306.0,1522942561.411815,269.0,0.488,110.566,8.44,-11.69,261.05
1522942563.456324,4841D5,1522942563.115762,52.07043,4.79965,10525.0,1522942563.456324,339.0,112.18,1344.0,1522942564.248224,314.0,1522942564.3244052,273.0,0.5,110.742,8.6,-11.69,261.99
1522942563.456324,4841D5,1522942563.115762,52.07043,4.79965,10525.0,1522942563.456324,339.0,112.18,1344.0,1522942563.013152,312.0,1522942561.411815,269.0,0.488,110.566,8.56,-11.73,262.37
1522942565.442167,4841D5,1522942563.115762,52.07043,4.79965,10525.0,1522942565.442167,342.0,112.14,1216.0,1522942564.248224,314.0,1522942565.4398608,275.0,0.5,110.742,8.78,-11.7,261.67
1522942566.163807,4841D5,1522942566.163807,52.06858,4.8066,10600.0,1522942566.009892,342.0,112.14,1216.0,1522942564.248224,314.0,1522942566.313699,276.0,0.504,110.91799999999999,9.02,-11.67,260.84
1522942567.472721,4841D5,1522942567.2532141,52.06793,4.811380000000001,10600.0,1522942567.472721,346.0,112.05,1152.0,1522942566.976388,318.0,1522942566.9764,278.0,0.508,110.91799999999999,9.18,-11.62,260.43
1522942567.75323,4841D5,1522942567.75323,52.06765,4.811380000000001,10625.0,1522942567.472721,346.0,112.05,1152.0,1522942566.976388,318.0,1522942567.682431,279.0,0.508,110.91799999999999,9.29,-11.57,260.13
1522942570.9029481,4841D5,1522942570.71739,52.06581,4.8188,10675.0,1522942569.633971,349.0,112.17,1088.0,1522942566.976388,318.0,1522942570.944419,284.0,0.52,111.62100000000001,9.52,-11.41,258.18
1522942572.4822106,4841D5,1522942570.71739,52.06581,4.8188,10675.0,1522942572.4822106,355.0,112.67,1088.0,1522942571.733531,328.0,1522942571.7335448,285.0,0.52,111.79700000000001,9.63,-11.33,258.66
1522942572.537061,4841D5,1522942572.537061,52.06467,4.82376,10700.0,1522942572.4822106,355.0,112.67,1088.0,1522942573.332971,332.0,1522942573.332983,288.0,0.528,112.324,9.56,-11.04,258.89
1522942574.494844,4841D5,1522942574.494844,52.063390000000005,4.82864,10750.0,1522942574.277975,359.0,113.28,1088.0,1522942573.332971,332.0,1522942574.312621,289.0,0.528,112.676,9.67,-10.94,259.08
1522942576.392882,4841D5,1522942576.0054119,52.06239,4.83116,10775.0,1522942576.392882,363.0,113.67,1088.0,1522942573.332971,332.0,1522942576.251557,293.0,0.536,113.20299999999999,9.86,-10.91,258.36
1522942576.392882,4841D5,1522942576.0054119,52.06239,4.83116,10775.0,1522942576.392882,363.0,113.67,1088.0,1522942573.332971,332.0,1522942577.301075,294.0,0.54,113.555,9.81,-10.93,258.41
1522942579.412319,4841D5,1522942578.612793,52.060590000000005,4.83864,10825.0,1522942579.412319,368.0,114.2,1152.0,1522942578.5431619,340.0,1522942578.54317,296.0,0.54,113.73,9.86,-10.87,258.8
1522942580.445654,4841D5,1522942580.172817,52.059509999999996,4.841130000000001,10850.0,1522942580.445654,370.0,114.21,1088.0,1522942580.23603,344.0,1522942580.236021,298.0,0.5479999999999999,114.08200000000001,9.91,-10.67,258.91
1522942581.486046,4841D5,1522942581.135288,52.05881,4.84375,10875.0,1522942581.486046,372.0,114.43,1152.0,1522942582.84868,348.0,1522942582.315785,301.0,0.552,114.434,9.8,-10.41,259.3
1522942581.486046,4841D5,1522942581.135288,52.05881,4.84375,10875.0,1522942581.486046,372.0,114.43,1152.0,1522942582.315722,346.0,1522942582.315785,301.0,0.552,114.434,9.84,-10.67,258.85
1522942584.0911381,4841D5,1522942584.0911381,52.056709999999995,4.85133,10925.0,1522942583.587055,374.0,114.58,1088.0,1522942584.220645,350.0,1522942584.220625,303.0,0.556,114.785,9.83,-10.11,259.52
1522942585.386904,4841D5,1522942584.955008,52.056059999999995,4.85374,10925.0,1522942585.386904,378.0,114.67,1024.0,1522942584.7833278,350.0,1522942584.7833474,304.0,0.556,114.785,9.98,-9.97,259.68
1522942586.484456,4841D5,1522942586.484456,52.054959999999994,4.85901,10950.0,1522942586.213734,378.0,114.67,1024.0,1522942585.523836,352.0,1522942585.523862,305.0,0.56,114.785,10.04,-9.83,259.73
1522942587.152629,4841D5,1522942586.985401,52.05455,4.85901,10975.0,1522942587.152629,379.0,114.74,1024.0,1522942586.806058,354.0,1522942586.813015,307.0,0.564,114.961,10.07,-9.67,259.67
1522942588.0049539,4841D5,1522942586.985401,52.05455,4.85901,10975.0,1522942588.0049539,382.0,114.89,1024.0,1522942588.216155,356.0,1522942588.216133,309.0,0.568,114.961,10.1,-9.58,259.58
1522942589.428472,4841D5,1522942586.985401,52.05455,4.85901,10975.0,1522942589.428472,385.0,114.84,960.0,1522942589.3619099,358.0,1522942589.447183,310.0,0.568,115.137,10.18,-9.48,259.8
1522942590.0986464,4841D5,1522942590.0986464,52.05225,4.86686,11025.0,1522942590.005013,385.0,114.84,960.0,1522942589.3619099,358.0,1522942590.314167,311.0,0.5720000000000001,115.137,10.32,-9.36,259.56
1522942591.034264,4841D5,1522942590.6759179,52.0518,4.86946,11025.0,1522942591.034264,387.0,114.91,960.0,1522942589.3619099,358.0,1522942591.175098,312.0,0.5720000000000001,115.137,10.42,-9.34,259.42
1522942592.1429882,4841D5,1522942592.1429882,52.05066,4.87228,11050.0,1522942591.543228,389.0,114.92,1024.0,1522942592.300301,362.0,1522942592.300308,313.0,0.5760000000000001,115.137,10.5,-9.28,259.45
1522942593.1157598,4841D5,1522942592.1429882,52.05066,4.87228,11050.0,1522942593.1157598,390.0,114.99,1280.0,1522942593.196908,362.0,1522942592.300308,313.0,0.5760000000000001,115.137,10.57,-9.26,259.47
1522942593.646009,4841D5,1522942593.646009,52.04955,4.877619999999999,11100.0,1522942593.1157598,390.0,114.99,1280.0,1522942593.555171,362.0,1522942595.7667232,315.0,0.58,115.137,10.73,-9.22,259.0
1522942593.646009,4841D5,1522942593.646009,52.04955,4.877619999999999,11100.0,1522942593.1157598,390.0,114.99,1280.0,1522942593.555171,362.0,1522942594.741784,315.0,0.58,115.137,10.69,-9.23,259.26
1522942593.646009,4841D5,1522942593.646009,52.04955,4.877619999999999,11100.0,1522942593.1157598,390.0,114.99,1280.0,1522942593.555171,362.0,1522942593.543482,314.0,0.5760000000000001,115.137,10.65,-9.23,259.55
1522942597.2294679,4841D5,1522942593.646009,52.04955,4.877619999999999,11100.0,1522942597.2294679,393.0,114.94,2432.0,1522942597.167658,366.0,1522942595.7667232,315.0,0.58,115.137,10.75,-9.18,259.27
1522942597.784945,4841D5,1522942597.784945,52.04633,4.88813,11250.0,1522942597.64231,395.0,115.01,2624.0,1522942597.714443,366.0,1522942598.3224561,316.0,0.584,114.961,10.87,-9.2,259.11
